protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
KLMA_10024	-4.5	-1	0	9	0.713260549687751	-361.918564860742	1.44474150178996e-05	8.37296413253926e-05	0.172548392531071		metabolic		W0T492	W0T492_KLUMD	MICOS complex subunit MIC10	82	NaN	NaN	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU363011}; Single-pass membrane protein {ECO:0000256|RuleBase:RU363011}.	FUNCTION: Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. {ECO:0000256|ARBA:ARBA00002689, ECO:0000256|RuleBase:RU363011}.
KLMA_10036	-0.5	-1	0	12	0.4	-41535040.6691451	3.40670859538784e-11	1.44315778493349e-06	2.36059329821988e-05		metabolic		W0T3N4	W0T3N4_KLUMD	Pantothenate kinase	364	NaN	NaN	NaN	NaN
KLMA_10051	-0.5	-1	0	13	0.671442527665085	-4335.29097140208	9.9366005804701e-07	5.52085486959015e-06	0.179983006530432		metabolic		W0T3P9	W0T3P9_KLUMD	Phosphotransferase (EC 2.7.1.-)	481	NaN	NaN	NaN	NaN
KLMA_10065	-0.5	-0.987878787878788	0	15	0.907235393775953	-4106.79510717776	4.17273646440948e-06	5.85595789593427e-06	0.712562579609147		metabolic		W0T294	W0T294_KLUMD	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	802	NaN	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 2/9. {ECO:0000256|ARBA:ARBA00005204}.; PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 3/9. {ECO:0000256|ARBA:ARBA00005169}.; PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 9/9. {ECO:0000256|ARBA:ARBA00004940}.	NaN	NaN
KLMA_10079	-0.5	-1	0	18	0.4	-2193.06350809974	6.45206030444445e-07	9.34030197588234e-05	0.00690776413985796		metabolic		W0T4F1	W0T4F1_KLUMD	S-adenosylmethionine synthase (EC 2.5.1.6)	384	NaN	PATHWAY: Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. {ECO:0000256|ARBA:ARBA00005224, ECO:0000256|RuleBase:RU000541}.	NaN	FUNCTION: Catalyzes the formation of S-adenosylmethionine from methionine and ATP. {ECO:0000256|RuleBase:RU000541}.
KLMA_10137	2	1	0	29	3.05286078365635	18342.3296856575	1.71268113976222e-07	3.24914998952914e-06	0.0527116675217084		metabolic		W0T6N9	W0T6N9_KLUMD	cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)	748	NaN	NaN	NaN	NaN
KLMA_10180	-0.5	-1	0	38	0.765663418153378	-3561.38742040394	1.91339553910351e-06	6.71985526210918e-05	0.0284737611819179		metabolic		W0T2L5	W0T2L5_KLUMD	argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	420	NaN	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 2/3. {ECO:0000256|ARBA:ARBA00004967}.	NaN	NaN
KLMA_10189	-0.5	-1	0	41	0.4	-9516.80896764197	1.48681958982749e-07	1.2144212182825e-05	0.0122430304036537		metabolic		W0T4U6	W0T4U6_KLUMD	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	305	NaN	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 1/2. {ECO:0000256|ARBA:ARBA00004672}.	NaN	NaN
KLMA_10244	-0.5	-1	0	50	0.4	-84919.0792195722	1.66626606597434e-08	5.8115187490202e-06	0.00286717833656696		metabolic		W0T4Z7	W0T4Z7_KLUMD	Acyl-CoA desaturase (EC 1.14.19.1)	477	NaN	NaN	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	FUNCTION: Stearoyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates. {ECO:0000256|PIRNR:PIRNR000345}.
KLMA_10253	-0.5	-1	0	51	0.83256255638948	-582.637552915086	1.72435520067921e-05	2.41750793466831e-05	0.713277990095114		metabolic		W0T3B0	W0T3B0_KLUMD	Pyruvate carboxylase (EC 6.4.1.1)	1175	NaN	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|ARBA:ARBA00004742}.	NaN	FUNCTION: Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. {ECO:0000256|PIRNR:PIRNR001594}.; FUNCTION: Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. {ECO:0000256|ARBA:ARBA00002380}.
