protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
KLMA_10024	-4.5	-1	0	9	0.698525891743683	-1383.33996178158	1.41418720011778e-05	8.37296413253926e-05	0.168899230634695		metabolic		W0T492	W0T492_KLUMD	MICOS complex subunit MIC10	82	NaN	NaN	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU363011}; Single-pass membrane protein {ECO:0000256|RuleBase:RU363011}.	FUNCTION: Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. {ECO:0000256|ARBA:ARBA00002689, ECO:0000256|RuleBase:RU363011}.
KLMA_10036	-0.5	-1	0	12	0.4	-165893343.252625	3.40670859538784e-11	1.44315778493349e-06	2.36059329821988e-05		metabolic		W0T3N4	W0T3N4_KLUMD	Pantothenate kinase	364	NaN	NaN	NaN	NaN
KLMA_10051	-0.5	-1	0	13	0.609707820170718	-14669.6850969515	9.01064218387071e-07	5.52085486959015e-06	0.163210995338837		metabolic		W0T3P9	W0T3P9_KLUMD	Phosphotransferase (EC 2.7.1.-)	481	NaN	NaN	NaN	NaN
KLMA_10065	4	1	0	15	1.3836779652614	4660.88366884577	6.42055688800417e-06	5.85595789593427e-06	1.0964144555175		metabolic		W0T294	W0T294_KLUMD	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	802	NaN	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 2/9. {ECO:0000256|ARBA:ARBA00005204}.; PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 3/9. {ECO:0000256|ARBA:ARBA00005169}.; PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 9/9. {ECO:0000256|ARBA:ARBA00004940}.	NaN	NaN
KLMA_10079	-0.5	-1	0	18	0.4	-8759.22188741858	6.45206030444445e-07	9.34030197588234e-05	0.00690776413985796		metabolic		W0T4F1	W0T4F1_KLUMD	S-adenosylmethionine synthase (EC 2.5.1.6)	384	NaN	PATHWAY: Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. {ECO:0000256|ARBA:ARBA00005224, ECO:0000256|RuleBase:RU000541}.	NaN	FUNCTION: Catalyzes the formation of S-adenosylmethionine from methionine and ATP. {ECO:0000256|RuleBase:RU000541}.
KLMA_10137	0	0.151515151515151	0.681807643477163	29	1.00476781570932	1000409.22155055	5.40309234065944e-08	3.24914998952914e-06	0.0166292487514325		metabolic		W0T6N9	W0T6N9_KLUMD	cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)	748	NaN	NaN	NaN	NaN
KLMA_10180	-0.5	-1	0	38	0.634507613291778	-9316.05698998751	1.58092846775072e-06	6.71985526210918e-05	0.0235262279630486		metabolic		W0T2L5	W0T2L5_KLUMD	argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	420	NaN	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 2/3. {ECO:0000256|ARBA:ARBA00004967}.	NaN	NaN
KLMA_10189	-0.5	-1	0	41	0.4	-38010.6828187484	1.48681958982749e-07	1.2144212182825e-05	0.0122430304036537		metabolic		W0T4U6	W0T4U6_KLUMD	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	305	NaN	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 1/2. {ECO:0000256|ARBA:ARBA00004672}.	NaN	NaN
KLMA_10244	-0.5	-1	0	50	0.4	-339171.690474218	1.66626606597434e-08	5.8115187490202e-06	0.00286717833656696		metabolic		W0T4Z7	W0T4Z7_KLUMD	Acyl-CoA desaturase (EC 1.14.19.1)	477	NaN	NaN	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	FUNCTION: Stearoyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates. {ECO:0000256|PIRNR:PIRNR000345}.
KLMA_10253	-0.5	-1	0	51	0.713406427170774	-1422.68099771696	1.473664453913e-05	2.41750793466831e-05	0.60957998639007		metabolic		W0T3B0	W0T3B0_KLUMD	Pyruvate carboxylase (EC 6.4.1.1)	1175	NaN	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|ARBA:ARBA00004742}.	NaN	FUNCTION: Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. {ECO:0000256|PIRNR:PIRNR001594}.; FUNCTION: Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. {ECO:0000256|ARBA:ARBA00002380}.
KLMA_10257	-2	-1	0	52	0.391108256176916	-86726.1876006213	6.22861566627818e-08	0	Inf		Secretory		W0T719	W0T719_KLUMD	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	526	NaN	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.	NaN
KLMA_10279	-0.5	-1	0	54	0.699685757411752	-1614.26930655391	1.21850553490652e-05	3.5344322519248e-05	0.344752833851303		metabolic		W0T527	W0T527_KLUMD	Rotenone-insensitive NADH-ubiquinone oxidoreductase	518	NaN	NaN	NaN	NaN
