protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
KLMA_10024	-4.5	-1	0	9	0.737054941857283	-609.397233381907	1.49381659064115e-05	8.37296413253926e-05	0.178409529408568		metabolic		W0T492	W0T492_KLUMD	MICOS complex subunit MIC10	82	NaN	NaN	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU363011}; Single-pass membrane protein {ECO:0000256|RuleBase:RU363011}.	FUNCTION: Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. {ECO:0000256|ARBA:ARBA00002689, ECO:0000256|RuleBase:RU363011}.
KLMA_10036	-0.5	-1	0	12	0.4	-64556578.8062691	3.40670859538784e-11	1.44315778493349e-06	2.36059329821988e-05		metabolic		W0T3N4	W0T3N4_KLUMD	Pantothenate kinase	364	NaN	NaN	NaN	NaN
KLMA_10051	-0.5	-1	0	13	0.68627685457004	-7033.0773209105	1.01600557385067e-06	5.52085486959015e-06	0.184030480396616		metabolic		W0T3P9	W0T3P9_KLUMD	Phosphotransferase (EC 2.7.1.-)	481	NaN	NaN	NaN	NaN
KLMA_10065	-0.5	-1	0	15	0.843309577931567	-4290.28645781876	3.87386431464199e-06	5.85595789593427e-06	0.661525301835174		metabolic		W0T294	W0T294_KLUMD	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	802	NaN	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 2/9. {ECO:0000256|ARBA:ARBA00005204}.; PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 3/9. {ECO:0000256|ARBA:ARBA00005169}.; PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 9/9. {ECO:0000256|ARBA:ARBA00004940}.	NaN	NaN
KLMA_10079	-0.5	-1	0	18	0.4	-3408.60812718467	6.45206030444445e-07	9.34030197588234e-05	0.00690776413985796		metabolic		W0T4F1	W0T4F1_KLUMD	S-adenosylmethionine synthase (EC 2.5.1.6)	384	NaN	PATHWAY: Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. {ECO:0000256|ARBA:ARBA00005224, ECO:0000256|RuleBase:RU000541}.	NaN	FUNCTION: Catalyzes the formation of S-adenosylmethionine from methionine and ATP. {ECO:0000256|RuleBase:RU000541}.
KLMA_10137	-0.5	-1	0	29	0.478068361375733	-119521.249665899	2.54312454692352e-08	3.24914998952914e-06	0.00782704570462771		metabolic		W0T6N9	W0T6N9_KLUMD	cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)	748	NaN	NaN	NaN	NaN
KLMA_10180	-0.5	-1	0	38	0.809463948414003	-6647.97290981848	2.02502045898781e-06	6.71985526210918e-05	0.0301348820770911		metabolic		W0T2L5	W0T2L5_KLUMD	argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	420	NaN	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 2/3. {ECO:0000256|ARBA:ARBA00004967}.	NaN	NaN
KLMA_10189	-0.5	-1	0	41	0.4	-14791.6703151366	1.48681958982749e-07	1.2144212182825e-05	0.0122430304036537		metabolic		W0T4U6	W0T4U6_KLUMD	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	305	NaN	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 1/2. {ECO:0000256|ARBA:ARBA00004672}.	NaN	NaN
KLMA_10244	-0.5	-1	0	50	0.4	-131986.995593977	1.66626606597434e-08	5.8115187490202e-06	0.00286717833656696		metabolic		W0T4Z7	W0T4Z7_KLUMD	Acyl-CoA desaturase (EC 1.14.19.1)	477	NaN	NaN	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	FUNCTION: Stearoyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates. {ECO:0000256|PIRNR:PIRNR000345}.
KLMA_10253	-0.5	-1	0	51	0.804775037737471	-783.17196867472	1.66611658685505e-05	2.41750793466831e-05	0.689187639453867		metabolic		W0T3B0	W0T3B0_KLUMD	Pyruvate carboxylase (EC 6.4.1.1)	1175	NaN	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|ARBA:ARBA00004742}.	NaN	FUNCTION: Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. {ECO:0000256|PIRNR:PIRNR001594}.; FUNCTION: Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. {ECO:0000256|ARBA:ARBA00002380}.
KLMA_10257	-2	-1	0	52	0.300912060406486	-29933.2311883442	4.77216277412981e-08	0	Inf		Secretory		W0T719	W0T719_KLUMD	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	526	NaN	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.	NaN
KLMA_10279	-0.5	-1	0	54	0.738232519650168	-711.495913591141	1.28703645739276e-05	3.5344322519248e-05	0.364142347527489		metabolic		W0T527	W0T527_KLUMD	Rotenone-insensitive NADH-ubiquinone oxidoreductase	518	NaN	NaN	NaN	NaN
KLMA_10305	-4	-1	0	60	0.762996507577897	-22386.1526366669	4.63043313924833e-07	1.65751861088146e-06	0.279359345279743		metabolic		W0T2W9	W0T2W9_KLUMD	Probable phosphoglycerate mutase YOR283W	230	NaN	NaN	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.	NaN
KLMA_10313	-0.5	-1	0	62	0.4	-296.406956068927	7.41971291176471e-06	9.23466763969506e-07	8.034629075194		metabolic		W0T3G4	W0T3G4_KLUMD	Phosphomevalonate kinase (EC 2.7.4.2)	449	NaN	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via mevalonate pathway; isopentenyl diphosphate from (R)-mevalonate: step 2/3. {ECO:0000256|ARBA:ARBA00005017, ECO:0000256|PIRNR:PIRNR017288}.	NaN	NaN
KLMA_10316	-0.5	-1	0	63	0.4	-27101582612.0658	8.11485642946317e-14	1.12113040612063e-06	7.2381021736289e-08		metabolic		W0T4H7	W0T4H7_KLUMD	uroporphyrinogen-III synthase (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	261	NaN	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 3/4. {ECO:0000256|ARBA:ARBA00004772}.	NaN	NaN
KLMA_10317	-0.5	-1	0	64	0.4	-1121.05841973353	1.96176620269642e-06	1.94133138877523e-05	0.101052618529703		metabolic		W0T771	W0T771_KLUMD	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	524	NaN	PATHWAY: Purine metabolism; GMP biosynthesis; GMP from XMP (L-Gln route): step 1/1. {ECO:0000256|ARBA:ARBA00005153}.	NaN	NaN
KLMA_10331	-4.5	-1	0	65	0.742123993059754	-10828.811874317	8.62936247793385e-07	8.48586893498743e-06	0.101690970530487		metabolic		W0T4I6	W0T4I6_KLUMD	6-phosphogluconolactonase-like protein	299	NaN	PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 2/3. {ECO:0000256|ARBA:ARBA00004961}.	NaN	NaN
KLMA_10336	-4.5	-1	0	66	0.4	-269873905.504981	8.14919291647077e-12	4.84578179715537e-05	1.68170859885903e-07		metabolic		W0T4J0	W0T4J0_KLUMD	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	424	NaN	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; succinate from succinyl-CoA (ligase route): step 1/1. {ECO:0000256|ARBA:ARBA00005064, ECO:0000256|HAMAP-Rule:MF_03219}.	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|HAMAP-Rule:MF_03219}.	FUNCTION: Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of ATP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit. {ECO:0000256|HAMAP-Rule:MF_03219}.
KLMA_10341	-4	-1	0	67	0.816892114805574	-17078.5722837802	8.11716817950681e-07	5.52676802108879e-06	0.146870072138612		metabolic		W0T4J4	W0T4J4_KLUMD	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	978	NaN	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. {ECO:0000256|ARBA:ARBA00004679, ECO:0000256|HAMAP-Rule:MF_03184, ECO:0000256|PIRNR:PIRNR000533}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03184}.	FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000256|HAMAP-Rule:MF_03184}.
KLMA_10414	-0.5	-1	0	77	0.4	-40613.9477726182	5.41502276851852e-08	2.08835809491715e-06	0.0259295701331019		metabolic		W0T5E0	W0T5E0_KLUMD	thymidylate synthase (EC 2.1.1.45)	302	NaN	PATHWAY: Pyrimidine metabolism; dTTP biosynthesis. {ECO:0000256|ARBA:ARBA00004992}.	NaN	NaN
KLMA_10433	-0.5	-1	0	80	0.809463948414003	-1129061.0147095	1.19234310438422e-08	1.16531361551191e-05	0.00102319503394838		metabolic		W0T3S7	W0T3S7_KLUMD	Arginosuccinase	462	NaN	NaN	NaN	NaN
KLMA_10436	-0.5	-1	0	83	0.843309577931567	-2190180.72510622	7.58840922030753e-09	2.71567725892952e-07	0.0279429714829175		metabolic		W0T4S5	W0T4S5_KLUMD	Histidinol-phosphatase (HolPase) (EC 3.1.3.15)	340	NaN	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 8/9. {ECO:0000256|ARBA:ARBA00004970, ECO:0000256|RuleBase:RU366003}.	NaN	NaN
KLMA_10462	-4	-1	0	87	0.762996507577897	-1609.00472076043	6.4423417589542e-06	0.000588996117884533	0.0109378339913221		metabolic		W0T7K9	W0T7K9_KLUMD	phosphopyruvate hydratase (EC 4.2.1.11)	437	NaN	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 4/5. {ECO:0000256|ARBA:ARBA00005031}.	NaN	NaN
KLMA_10468	-4.5	-1	0	89	0.742123993059753	-234.119137220537	3.99137567215666e-05	0.000142323282473804	0.280444323850618		metabolic		W0T3V9	W0T3V9_KLUMD	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	492	NaN	PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 3/3. {ECO:0000256|ARBA:ARBA00004874, ECO:0000256|PIRNR:PIRNR000109, ECO:0000256|RuleBase:RU000485}.	NaN	FUNCTION: Catalyzes the oxidative decarboxylation of 6-phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH. {ECO:0000256|ARBA:ARBA00002526, ECO:0000256|PIRNR:PIRNR000109}.
KLMA_10498	-0.5	-1	0	95	0.604757094522849	-553782.261578277	8.51059605877275e-09	3.30188267765747e-06	0.00257749801843674		metabolic		W0T3Y7	W0T3Y7_KLUMD	Serine palmitoyltransferase 1	553	NaN	NaN	NaN	NaN
KLMA_10505	-0.5	-1	0	96	0.4	-397399.56413697	5.53411406944444e-09	6.30497921733309e-06	0.000877737083451528		metabolic		W0T3E2	W0T3E2_KLUMD	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)	509	NaN	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2. {ECO:0000256|ARBA:ARBA00005209, ECO:0000256|PIRNR:PIRNR000485}.	NaN	NaN
KLMA_10514	-0.5	-1	0	101	0.763968398138864	-69881.5846815689	1.48832780493153e-07	2.69861653688181e-05	0.00551515113240675		metabolic		W0T5N8	W0T5N8_KLUMD	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	374	NaN	NaN	NaN	NaN
KLMA_10519	-0.5	-1	0	104	0.4	-3005289.23833116	7.31794627628834e-10	0	Inf		metabolic		W0T5P5	W0T5P5_KLUMD	Siderophore iron transporter ARN1	605	NaN	NaN	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	NaN
