protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
AT250_GQ_6803479	0	0.5	0.266666666666667	1	2.13227085606117	48.4728919588389	3.81413386520816e-06	0	Inf		metabolic									
PAS_FragB_0009	-0.5	-1	0.000396825396825397	6	0.636790813479342	-118.062219886595	7.77207234026278e-06	1.00897116219225e-06	7.70296776706279		metabolic		C4QZ66	PAS_FragB_0009	Glycine cleavage system H protein	175	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU364055}.	FUNCTION: The H protein shuttles the methylamine group of glycine from the P protein to the T protein. {ECO:0000256|RuleBase:RU364055}.
PAS_FragB_0040	-0.5	-1	0.000396825396825397	8	0.590768949525466	-424836.33769079	1.78310391988184e-09	9.87081700325204e-07	0.00180644005384193		metabolic		C4QZ99	PAS_FragB_0040	Serine palmitoyltransferase 1	550	NaN			
PAS_FragD_0026	-2	-1	0.000396825396825397	13	0.635074432139099	-1668.71621333362	5.37883963104102e-07	4.092629899997e-09	131.427462596727		Secretory		C4R9A6	PAS_FragD_0026	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97	830	NaN			
PAS_c034_0024	-0.5	-1	0.000396825396825397	15	0.834544762263336	-376669.490175282	6.96448104604321e-09	0	Inf	PAS_chr1-1_0003	metabolic		C4R9E6	PAS_c034_0024	Major facilitator superfamily	633	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_c121_0002	2	1	0.000396825396825397	18	1.64213124971257	5003.45494169515	2.66573349675199e-07	1.04834288976846e-06	0.25428068647852		metabolic		C4QZ40	PAS_c121_0002	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	468	NaN	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367136}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU367136}.	FUNCTION: Mannosylates Man(2)GlcNAc(2)-dolichol diphosphate and Man(1)GlcNAc(2)-dolichol diphosphate to form Man(3)GlcNAc(2)-dolichol diphosphate. {ECO:0000256|ARBA:ARBA00003142, ECO:0000256|RuleBase:RU367136}.
PAS_c131_0017	-0.5	-1	0.000396825396825397	20	0.586206896551724	-10361.2147540709	7.18040474531455e-08	5.00783217684672e-08	1.43383493930019		metabolic		C4R395	PAS_c131_0017	Trehalose-6-phosphate synthase (EC 2.4.1.15) (UDP-glucose-glucosephosphate glucosyltransferase)	473	NaN	PATHWAY: Carbohydrate biosynthesis. {ECO:0000256|ARBA:ARBA00024331}.		
PAS_chr1-1_0008	-0.5	-1	0.000396825396825397	25	0.586243649511316	-81.8675200788494	9.08889761243054e-06	6.1737855673347e-06	1.47217578474374		metabolic		C4QVT8	PAS_chr1-1_0008	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	2069	NaN			FUNCTION: Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. The beta subunit contains domains for: [acyl-carrier-protein] acetyltransferase and malonyltransferase, S-acyl fatty acid synthase thioesterase, enoyl-[acyl-carrier-protein] reductase, and 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase. {ECO:0000256|PIRNR:PIRNR005562}.
PAS_chr1-1_0013	-0.5	-1	0.000396825396825397	27	0.586206896551724	-2163231.96824467	3.439192683886e-10	6.03545977966701e-06	5.69831099773438e-05		metabolic		C4QVU3	SLD1	Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18)	542	NaN	PATHWAY: Lipid metabolism; sphingolipid metabolism. {ECO:0000305|PubMed:16339149}.	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.	FUNCTION: Delta(8)-fatty-acid desaturase which introduces a double bond at the 8-position in the long-chain base (LCB) of ceramides. Required for the formation of the di-unsaturated sphingoid base (E,E)-sphinga-4,8-dienine during glucosylceramide (GluCer) biosynthesis. {ECO:0000269|PubMed:16339149}.
PAS_chr1-1_0030	-2.5	-1	0.000396825396825397	29	0.140608850428503	-18.3461052097965	4.6533395919578e-06	5.83694080813375e-06	0.797222336994302	PAS_chr1-1_0203	metabolic		C4QVW1	PAS_chr1-1_0030	General amino acid permease	584	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
