protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
AT250_GQ_6803479	0	-0.285714285714286	0.555952380952381	1	0.825447984642536	-63.8026705724644	7.62923669118222e-06	0	Inf		metabolic									
PAS_FragB_0009	-0.5	-1	0.000396825396825397	6	0.875119333295603	-346.091288092324	2.148328503272e-05	1.00897116219225e-06	21.2922686373335		metabolic		C4QZ66	PAS_FragB_0009	Glycine cleavage system H protein	175	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU364055}.	FUNCTION: The H protein shuttles the methylamine group of glycine from the P protein to the T protein. {ECO:0000256|RuleBase:RU364055}.
PAS_FragB_0040	-0.5	-1	0.000396825396825397	8	0.584533787435413	-885047.226462447	1.72053826779302e-09	9.87081700325204e-07	0.0017430555821531		metabolic		C4QZ99	PAS_FragB_0040	Serine palmitoyltransferase 1	550	NaN			
PAS_FragD_0026	-2	-1	0.000396825396825397	13	0.486484736850039	-4387.80535931485	2.3327419372607e-07	4.092629899997e-09	56.9986046689052		Secretory		C4R9A6	PAS_FragD_0026	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97	830	NaN			
PAS_c034_0024	-0.5	-1	0.000396825396825397	15	0.586206896551724	-339934.699531643	4.51127187385333e-09	0	Inf	PAS_chr1-1_0003	metabolic		C4R9E6	PAS_c034_0024	Major facilitator superfamily	633	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_c121_0002	-0.5	-1	0.000396825396825397	18	0.500734861947475	-140197.963298031	7.71965448964392e-09	1.04834288976846e-06	0.00736367324563903		metabolic		C4QZ40	PAS_c121_0002	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	468	NaN	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367136}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU367136}.	FUNCTION: Mannosylates Man(2)GlcNAc(2)-dolichol diphosphate and Man(1)GlcNAc(2)-dolichol diphosphate to form Man(3)GlcNAc(2)-dolichol diphosphate. {ECO:0000256|ARBA:ARBA00003142, ECO:0000256|RuleBase:RU367136}.
PAS_c131_0017	-0.5	-1	0.000396825396825397	20	0.586206896551724	-21357.2619279515	7.18040474531455e-08	5.00783217684672e-08	1.43383493930019		metabolic		C4R395	PAS_c131_0017	Trehalose-6-phosphate synthase (EC 2.4.1.15) (UDP-glucose-glucosephosphate glucosyltransferase)	473	NaN	PATHWAY: Carbohydrate biosynthesis. {ECO:0000256|ARBA:ARBA00024331}.		
PAS_chr1-1_0008	-0.5	-1	0.000396825396825397	25	0.586193749185987	-168.765213974541	9.08630855291043e-06	6.1737855673347e-06	1.47175642137391		metabolic		C4QVT8	PAS_chr1-1_0008	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	2069	NaN			FUNCTION: Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. The beta subunit contains domains for: [acyl-carrier-protein] acetyltransferase and malonyltransferase, S-acyl fatty acid synthase thioesterase, enoyl-[acyl-carrier-protein] reductase, and 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase. {ECO:0000256|PIRNR:PIRNR005562}.
PAS_chr1-1_0013	-0.5	-1	0.000396825396825397	27	0.586206896551724	-4459005.32450283	3.439192683886e-10	6.03545977966701e-06	5.69831099773438e-05		metabolic		C4QVU3	SLD1	Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18)	542	NaN	PATHWAY: Lipid metabolism; sphingolipid metabolism. {ECO:0000305|PubMed:16339149}.	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.	FUNCTION: Delta(8)-fatty-acid desaturase which introduces a double bond at the 8-position in the long-chain base (LCB) of ceramides. Required for the formation of the di-unsaturated sphingoid base (E,E)-sphinga-4,8-dienine during glucosylceramide (GluCer) biosynthesis. {ECO:0000269|PubMed:16339149}.
PAS_chr1-1_0050	-0.5	-1	0.000396825396825397	32	0.878884342845937	-548.81860870348	1.40033327286887e-05	5.52097515054233e-06	2.53638756684371		metabolic		C4QVY5	PAS_chr1-1_0050	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	473	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU361137}.	FUNCTION: The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). {ECO:0000256|RuleBase:RU361137}.
PAS_chr1-1_0054	-0.5	-1	0.000396825396825397	33	0.585174612761881	-227.82971022912	6.7057003619072e-06	5.4820333731314e-06	1.22321407140154		metabolic		C4QVY9	PAS_chr1-1_0054	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation	385	NaN			
PAS_chr1-1_0062	-0.5	-1	0.000396825396825397	34	0.586206896551724	-9289639.98767586	1.65080439175077e-10	5.26845071046056e-06	3.13337731047399e-05		metabolic		C4QVZ7	PAS_chr1-1_0062	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	251	NaN	PATHWAY: Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1. {ECO:0000256|ARBA:ARBA00005080}.		
PAS_chr1-1_0067	-0.5	-1	0.000396825396825397	36	0.58466497371839	-1450.77931425634	1.05029467590353e-06	5.15116193256666e-06	0.203894711455945		metabolic		C4QW03	PAS_chr1-1_0067	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)	530	NaN	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route I): step 2/2. {ECO:0000256|ARBA:ARBA00004865, ECO:0000256|PIRNR:PIRNR016408}.		FUNCTION: Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, which is a biosynthetic precursor of chitin and also supplies the amino sugars for N-linked oligosaccharides of glycoproteins. {ECO:0000256|PIRNR:PIRNR016408}.
PAS_chr1-1_0069	-2	-1	0.000396825396825397	37	0.561588222013479	-3983.73539101944	3.47173801198529e-07	0	Inf		Secretory		C4QW05	PAS_chr1-1_0069	Plasma membrane protein involved in remodeling GPI anchors	569	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
