protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
AT250_GQ_6803479	0	0.5	0.266666666666667	1	1.00645264843904	86.3008522516956	9.54233634127202e-06	0	Inf		metabolic									
PAS_FragB_0009	-0.5	-1	0.000396825396825397	6	0.818912058118324	-176.086033428398	1.9851557641965e-05	1.00897116219225e-06	19.675049581033		metabolic		C4QZ66	PAS_FragB_0009	Glycine cleavage system H protein	175	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU364055}.	FUNCTION: The H protein shuttles the methylamine group of glycine from the P protein to the T protein. {ECO:0000256|RuleBase:RU364055}.
PAS_FragB_0040	-0.5	-1	0.000396825396825397	8	0.603436681380363	-658584.203776252	1.78720984803317e-09	9.87081700325204e-07	0.00181059971777853		metabolic		C4QZ99	PAS_FragB_0040	Serine palmitoyltransferase 1	550	NaN			
PAS_FragD_0026	-2	-1	0.000396825396825397	13	0.700886230602414	-4853.60004723373	3.6057097952881e-07	4.092629899997e-09	88.1025131368644		Secretory		C4R9A6	PAS_FragD_0026	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97	830	NaN			
PAS_c034_0024	-0.5	-1	0.000396825396825397	15	0.586206896551724	-243184.771636905	4.51127187385333e-09	0	Inf	PAS_chr1-1_0003	metabolic		C4R9E6	PAS_c034_0024	Major facilitator superfamily	633	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_c121_0002	2	1	0.000396825396825397	18	4.81971774712108	3177.63183878746	3.0620448404646e-07	1.04834288976846e-06	0.292084285623465		metabolic		C4QZ40	PAS_c121_0002	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	468	NaN	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367136}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU367136}.	FUNCTION: Mannosylates Man(2)GlcNAc(2)-dolichol diphosphate and Man(1)GlcNAc(2)-dolichol diphosphate to form Man(3)GlcNAc(2)-dolichol diphosphate. {ECO:0000256|ARBA:ARBA00003142, ECO:0000256|RuleBase:RU367136}.
PAS_c131_0017	-0.5	-1	0.000396825396825397	20	0.586206896551724	-15278.7016797471	7.18040474531455e-08	5.00783217684672e-08	1.43383493930019		metabolic		C4R395	PAS_c131_0017	Trehalose-6-phosphate synthase (EC 2.4.1.15) (UDP-glucose-glucosephosphate glucosyltransferase)	473	NaN	PATHWAY: Carbohydrate biosynthesis. {ECO:0000256|ARBA:ARBA00024331}.		
PAS_chr1-1_0008	-0.5	-1	0.000396825396825397	25	0.586343123259777	-120.769385221229	9.08906752182993e-06	6.1737855673347e-06	1.47220330584851		metabolic		C4QVT8	PAS_chr1-1_0008	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	2069	NaN			FUNCTION: Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. The beta subunit contains domains for: [acyl-carrier-protein] acetyltransferase and malonyltransferase, S-acyl fatty acid synthase thioesterase, enoyl-[acyl-carrier-protein] reductase, and 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase. {ECO:0000256|PIRNR:PIRNR005562}.
PAS_chr1-1_0013	-0.5	-1	0.000396825396825397	27	0.586206896551724	-3189913.21880638	3.439192683886e-10	6.03545977966701e-06	5.69831099773438e-05		metabolic		C4QVU3	SLD1	Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18)	542	NaN	PATHWAY: Lipid metabolism; sphingolipid metabolism. {ECO:0000305|PubMed:16339149}.	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.	FUNCTION: Delta(8)-fatty-acid desaturase which introduces a double bond at the 8-position in the long-chain base (LCB) of ceramides. Required for the formation of the di-unsaturated sphingoid base (E,E)-sphinga-4,8-dienine during glucosylceramide (GluCer) biosynthesis. {ECO:0000269|PubMed:16339149}.
PAS_chr1-1_0050	-0.5	-1	0.000396825396825397	32	0.827997489371764	-285.182809585878	1.30397400003637e-05	5.52097515054233e-06	2.36185449939632		metabolic		C4QVY5	PAS_chr1-1_0050	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	473	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU361137}.	FUNCTION: The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). {ECO:0000256|RuleBase:RU361137}.
PAS_chr1-1_0054	-0.5	-1	0.000396825396825397	33	0.584442024650155	-162.766058224879	6.6954074090079e-06	5.4820333731314e-06	1.22133649200742		metabolic		C4QVY9	PAS_chr1-1_0054	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation	385	NaN			
PAS_chr1-1_0062	-0.5	-1	0.000396825396825397	34	0.586206896551724	-6645685.13336403	1.65080439175077e-10	5.26845071046056e-06	3.13337731047399e-05		metabolic		C4QVZ7	PAS_chr1-1_0062	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	251	NaN	PATHWAY: Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1. {ECO:0000256|ARBA:ARBA00005080}.		
PAS_chr1-1_0067	0	0	1	36	0.999416839920056	1945.42407299835	1.93835127066061e-06	5.15116193256666e-06	0.376293988819488		metabolic		C4QW03	PAS_chr1-1_0067	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)	530	NaN	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route I): step 2/2. {ECO:0000256|ARBA:ARBA00004865, ECO:0000256|PIRNR:PIRNR016408}.		FUNCTION: Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, which is a biosynthetic precursor of chitin and also supplies the amino sugars for N-linked oligosaccharides of glycoproteins. {ECO:0000256|PIRNR:PIRNR016408}.
PAS_chr1-1_0069	0	-0.892857142857143	0.0123015873015873	37	0.819944324073223	-5226.71314252786	5.53215625637292e-07	0	Inf		Secretory		C4QW05	PAS_chr1-1_0069	Plasma membrane protein involved in remodeling GPI anchors	569	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_chr1-1_0079	-0.5	-1	0.000396825396825397	39	0.584442024650155	-162.766058224879	6.6954074090079e-06	4.99812196614105e-06	1.33958463886332		metabolic		C4QW15	PAS_chr1-1_0079	Non-ATPase regulatory subunit of the 26S proteasome	417	NaN			
PAS_chr1-1_0081	1.5	1	0.000396825396825397	40	1.10057250944904	4600.94006108333	1.71793676758648e-06	4.89290800723127e-06	0.351107514191463		metabolic		C4QW17	PAS_chr1-1_0081	Mitochondrial inner membrane transporter, transports oxaloacetate, sulfate, and thiosulfate	321	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_chr1-1_0124	-4	-1	0.000396825396825397	46	0.776521816610656	-7701.04106486987	3.49409483315572e-07	4.4785773014755e-06	0.0780179641424201		metabolic		C4QW63	PAS_chr1-1_0124	Subunit of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)	92	NaN		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|ARBA:ARBA00004443}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004443}; Matrix side {ECO:0000256|ARBA:ARBA00004443}.	
PAS_chr1-1_0163	-0.5	-1	0.000396825396825397	52	0.586206896551724	-125902.046534904	8.71369966278408e-09	4.00674135672172e-06	0.00217475970795219		metabolic		C4QWA5	PAS_chr1-1_0163	Deoxycytidine monophosphate (dCMP) deaminase required for dCTP and dTTP synthesis	308	NaN			
PAS_chr1-1_0172	-4	-1	0.000396825396825397	55	0.776521816610656	-7701.04106486987	3.49409483315572e-07	3.93398775129608e-06	0.0888181421511689		metabolic		C4QWB4	PAS_chr1-1_0172	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	115	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004170}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004170}. Mitochondrion inner membrane {ECO:0000256|ARBA:ARBA00004637}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004637}. Mitochondrion intermembrane space {ECO:0000256|ARBA:ARBA00004569}.	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.
PAS_chr1-1_0184	-0.5	-1	0.000396825396825397	56	0.586206896551724	-343329005.632505	3.19539742473523e-12	3.8525004506165e-06	8.29434666055363e-07		metabolic		C4QWC7	PAS_chr1-1_0184	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	658	NaN	PATHWAY: Sulfur metabolism; glutathione biosynthesis; glutathione from L-cysteine and L-glutamate: step 1/2. {ECO:0000256|ARBA:ARBA00005006, ECO:0000256|RuleBase:RU367135}.		
PAS_chr1-1_0191	-0.5	-1	0.000396825396825397	57	0.759215367419294	-498.20586318436	4.9021713368049e-06	3.79279669202138e-06	1.2924951519593		metabolic		C4QWD4	PAS_chr1-1_0191	ATP synthase subunit 5, mitochondrial	205	NaN			
PAS_chr1-1_0200	-2	-1	0.000396825396825397	59	0.797559410610692	-280.24813690597	1.08815130143994e-05	3.67663733780022e-06	2.95963730295738		metabolic		C4QWE4	PAS_chr1-1_0200	Aspartate aminotransferase (EC 2.6.1.1)	426	NaN			
PAS_chr1-1_0202	-0.5	-1	0.000396825396825397	60	0.827997489371764	-285.182809585878	1.30397400003637e-05	3.67419222318852e-06	3.54900865503645		metabolic		C4QWE7	PAS_chr1-1_0202	Protein-serine/threonine kinase (EC 2.7.11.-)	454	NaN		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|RuleBase:RU366032}.	
PAS_chr1-1_0215	4	1	0.000396825396825397	63	4.81971776511948	18.535031485399	5.24954660856123e-05	3.59038104112251e-06	14.621140621108		Secretory		C4QWG2	PAS_chr1-1_0215	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106)	804	NaN		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368089}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU368089}.	FUNCTION: Cleaves the distal alpha 1,2-linked glucose residue from the Glc(3)Man(9)GlcNAc(2) oligosaccharide precursor. {ECO:0000256|RuleBase:RU368089}.
PAS_chr1-1_0277	0	0.107142857142857	0.83968253968254	73	0.93368470416083	27.5776241433061	1.28823141995216e-05	3.1345452404077e-06	4.1097872933702		metabolic		C4QWM6	PAS_chr1-1_0277	6-phosphogluconolactonase-like protein	289	NaN			
PAS_chr1-1_0286	-0.5	-1	0.000396825396825397	76	0.65312915351918	-3947.23305709014	3.69493326804156e-07	3.09633307899845e-06	0.119332551562467		Secretory		C4QWN8	PAS_chr1-1_0286	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	741	NaN	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367007}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477, ECO:0000256|RuleBase:RU367007}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477, ECO:0000256|RuleBase:RU367007}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	FUNCTION: Transfers mannose from Dol-P-mannose to Ser or Thr residues on proteins. {ECO:0000256|RuleBase:RU367007}.
PAS_chr1-1_0299	-0.5	-1	0.000396825396825397	78	0.584442024650155	-162.766058224879	6.6954074090079e-06	3.03847578542728e-06	2.20354147336618		metabolic		C4QWQ3	PAS_chr1-1_0299	Essential, non-ATPase regulatory subunit of the 26S proteasome lid	441	NaN			
PAS_chr1-1_0313	-1	-1	0.000396825396825397	80	0.883051029360633	-238.923529418844	2.42168310926527e-05	2.9116548720119e-06	8.31720521736124	PAS_chr1-4_0421	metabolic		C4QWR7	PAS_chr1-1_0313	homocitrate synthase (EC 2.3.3.14)	435	NaN	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via AAA pathway; L-alpha-aminoadipate from 2-oxoglutarate: step 1/5. {ECO:0000256|ARBA:ARBA00004755}.		
PAS_chr1-1_0315	-0.5	-1	0.000396825396825397	81	0.759215367419294	-498.20586318436	4.9021713368049e-06	2.90217513656765e-06	1.68913697696501		metabolic		C4QWR9	PAS_chr1-1_0315	ATPase inhibitor, mitochondrial	84	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|ARBA:ARBA00004173}.	FUNCTION: Inhibits the enzyme activity of ATPase. {ECO:0000256|RuleBase:RU368087}.
