protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
AT250_GQ_6803479	0	0.5	0.266666666666667	1	2.65492906371099	52.4553541503229	3.19195358373847e-06	0	Inf		metabolic									
PAS_FragB_0009	-0.5	-1	0.000396825396825397	6	0.567311128241439	-117.710647787887	6.1699267394633e-06	1.00897116219225e-06	6.11506747730782		metabolic		C4QZ66	PAS_FragB_0009	Glycine cleavage system H protein	175	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU364055}.	FUNCTION: The H protein shuttles the methylamine group of glycine from the P protein to the T protein. {ECO:0000256|RuleBase:RU364055}.
PAS_FragB_0040	-0.5	-1	0.000396825396825397	8	0.600934088618141	-452046.205693918	1.85608215061694e-09	9.87081700325204e-07	0.00188037337740679		metabolic		C4QZ99	PAS_FragB_0040	Serine palmitoyltransferase 1	550	NaN			
PAS_FragD_0026	-2	-1	0.000396825396825397	13	0.669862892348209	-1801.31372511222	6.11005571233217e-07	4.092629899997e-09	149.294118003112		Secretory		C4R9A6	PAS_FragD_0026	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97	830	NaN			
PAS_c034_0024	-0.5	-1	0.000396825396825397	15	0.586206896551724	-175282.234773503	4.51127187385333e-09	0	Inf	PAS_chr1-1_0003	metabolic		C4R9E6	PAS_c034_0024	Major facilitator superfamily	633	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_c121_0002	2	1	0.000396825396825397	18	1.71055449746486	2398.69671464716	5.54546884689991e-07	1.04834288976846e-06	0.52897471819785		metabolic		C4QZ40	PAS_c121_0002	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	468	NaN	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367136}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU367136}.	FUNCTION: Mannosylates Man(2)GlcNAc(2)-dolichol diphosphate and Man(1)GlcNAc(2)-dolichol diphosphate to form Man(3)GlcNAc(2)-dolichol diphosphate. {ECO:0000256|ARBA:ARBA00003142, ECO:0000256|RuleBase:RU367136}.
PAS_c131_0017	-0.5	-1	0.000396825396825397	20	0.586206896551724	-11012.5521299596	7.18040474531455e-08	5.00783217684672e-08	1.43383493930019		metabolic		C4R395	PAS_c131_0017	Trehalose-6-phosphate synthase (EC 2.4.1.15) (UDP-glucose-glucosephosphate glucosyltransferase)	473	NaN	PATHWAY: Carbohydrate biosynthesis. {ECO:0000256|ARBA:ARBA00024331}.		
PAS_chr1-1_0008	-0.5	-1	0.000396825396825397	25	0.586328286218975	-87.0148815621548	9.09191755990551e-06	6.1737855673347e-06	1.47266494126562		metabolic		C4QVT8	PAS_chr1-1_0008	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	2069	NaN			FUNCTION: Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. The beta subunit contains domains for: [acyl-carrier-protein] acetyltransferase and malonyltransferase, S-acyl fatty acid synthase thioesterase, enoyl-[acyl-carrier-protein] reductase, and 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase. {ECO:0000256|PIRNR:PIRNR005562}.
PAS_chr1-1_0013	-0.5	-1	0.000396825396825397	27	0.586206896551724	-2299219.28894773	3.439192683886e-10	6.03545977966701e-06	5.69831099773438e-05		metabolic		C4QVU3	SLD1	Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18)	542	NaN	PATHWAY: Lipid metabolism; sphingolipid metabolism. {ECO:0000305|PubMed:16339149}.	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.	FUNCTION: Delta(8)-fatty-acid desaturase which introduces a double bond at the 8-position in the long-chain base (LCB) of ceramides. Required for the formation of the di-unsaturated sphingoid base (E,E)-sphinga-4,8-dienine during glucosylceramide (GluCer) biosynthesis. {ECO:0000269|PubMed:16339149}.
PAS_chr1-1_0030	-1.5	-1	0.000396825396825397	29	0.889582022122805	-101.714248965542	4.3111756283821e-05	5.83694080813375e-06	7.38601909817981	PAS_chr1-1_0203	metabolic		C4QVW1	PAS_chr1-1_0030	General amino acid permease	584	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_chr1-1_0050	-0.5	-1	0.000396825396825397	32	0.597686995778803	-187.958375628602	4.3835281391167e-06	5.52097515054233e-06	0.793977154323199		metabolic		C4QVY5	PAS_chr1-1_0050	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	473	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU361137}.	FUNCTION: The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). {ECO:0000256|RuleBase:RU361137}.
PAS_chr1-1_0054	-0.5	-1	0.000396825396825397	33	0.584696624438398	-108.546433609802	7.24472729346677e-06	5.4820333731314e-06	1.32154016591265		metabolic		C4QVY9	PAS_chr1-1_0054	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation	385	NaN			
PAS_chr1-1_0062	-0.5	-1	0.000396825396825397	34	0.586206896551724	-4790063.67847877	1.65080439175077e-10	5.26845071046056e-06	3.13337731047399e-05		metabolic		C4QVZ7	PAS_chr1-1_0062	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	251	NaN	PATHWAY: Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1. {ECO:0000256|ARBA:ARBA00005080}.		
PAS_chr1-1_0067	0	-0.214285714285714	0.661507936507936	36	0.986555619572583	-2460.85891614672	2.67493442505164e-06	5.15116193256666e-06	0.519287582116217		metabolic		C4QW03	PAS_chr1-1_0067	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)	530	NaN	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route I): step 2/2. {ECO:0000256|ARBA:ARBA00004865, ECO:0000256|PIRNR:PIRNR016408}.		FUNCTION: Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, which is a biosynthetic precursor of chitin and also supplies the amino sugars for N-linked oligosaccharides of glycoproteins. {ECO:0000256|PIRNR:PIRNR016408}.
PAS_chr1-1_0069	-2	-1	0.000396825396825397	37	0.717953448479551	-1745.46730649718	7.66058561511116e-07	0	Inf		Secretory		C4QW05	PAS_chr1-1_0069	Plasma membrane protein involved in remodeling GPI anchors	569	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_chr1-1_0079	-0.5	-1	0.000396825396825397	39	0.584696624438398	-108.546433609802	7.24472729346677e-06	4.99812196614105e-06	1.44948989691428		metabolic		C4QW15	PAS_chr1-1_0079	Non-ATPase regulatory subunit of the 26S proteasome	417	NaN			
PAS_chr1-1_0081	-4.5	-1	0.000396825396825397	40	0.000248232180310087	-6161.73078441711	1.99390100867933e-11	4.89290800723127e-06	4.07508378602772e-06		metabolic		C4QW17	PAS_chr1-1_0081	Mitochondrial inner membrane transporter, transports oxaloacetate, sulfate, and thiosulfate	321	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_chr1-1_0124	-4	-1	0.000396825396825397	46	0.35141587492951	-5308.25022992721	5.54978763271221e-08	4.4785773014755e-06	0.0123918540624135		metabolic		C4QW63	PAS_chr1-1_0124	Subunit of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)	92	NaN		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|ARBA:ARBA00004443}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004443}; Matrix side {ECO:0000256|ARBA:ARBA00004443}.	
PAS_chr1-1_0163	-0.5	-1	0.000396825396825397	52	0.586206896551724	-90747.426044199	8.71369966278408e-09	4.00674135672172e-06	0.00217475970795219		metabolic		C4QWA5	PAS_chr1-1_0163	Deoxycytidine monophosphate (dCMP) deaminase required for dCTP and dTTP synthesis	308	NaN			
