protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry Name	Protein names	Length	Mass spectrometry	Pathway	Subcellular location [CC]	Function [CC]
AT250_GQ_6803479	0	-0.0357142857142857	0.963492063492064	1	0.802067483411573	-21.8640111796254	7.24476260601503e-06	0	Inf		metabolic									
PAS_FragB_0009	-0.5	-1	0.000396825396825397	6	0.722773731543725	-97.696558285035	1.72001929051587e-05	1.00897116219225e-06	17.0472591781383		metabolic		C4QZ66	PAS_FragB_0009	Glycine cleavage system H protein	175	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU364055}.	FUNCTION: The H protein shuttles the methylamine group of glycine from the P protein to the T protein. {ECO:0000256|RuleBase:RU364055}.
PAS_FragB_0040	-0.5	-1	0.000396825396825397	8	0.616120598492361	-563159.131461528	1.83186933927329e-09	9.87081700325204e-07	0.00185584368413452		metabolic		C4QZ99	PAS_FragB_0040	Serine palmitoyltransferase 1	550	NaN			
PAS_FragD_0026	0	-0.892857142857143	0.0123015873015873	13	0.845017008422027	-5948.63003223193	4.55526176956354e-07	4.092629899997e-09	111.304024084046		Secretory		C4R9A6	PAS_FragD_0026	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97	830	NaN			
PAS_c034_0024	-0.5	-1	0.000396825396825397	15	0.586206896551724	-202193.779682119	4.51127187385333e-09	0	Inf	PAS_chr1-1_0003	metabolic		C4R9E6	PAS_c034_0024	Major facilitator superfamily	633	NaN		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	
PAS_c121_0002	2	1	0.000396825396825397	18	5.38549782571391	1567.88184753667	5.02428503321497e-07	1.04834288976846e-06	0.479259704267623		metabolic		C4QZ40	PAS_c121_0002	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	468	NaN	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367136}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU367136}.	FUNCTION: Mannosylates Man(2)GlcNAc(2)-dolichol diphosphate and Man(1)GlcNAc(2)-dolichol diphosphate to form Man(3)GlcNAc(2)-dolichol diphosphate. {ECO:0000256|ARBA:ARBA00003142, ECO:0000256|RuleBase:RU367136}.
PAS_c131_0017	-0.5	-1	0.000396825396825397	20	0.586206896551724	-12703.338372997	7.18040474531455e-08	5.00783217684672e-08	1.43383493930019		metabolic		C4R395	PAS_c131_0017	Trehalose-6-phosphate synthase (EC 2.4.1.15) (UDP-glucose-glucosephosphate glucosyltransferase)	473	NaN	PATHWAY: Carbohydrate biosynthesis. {ECO:0000256|ARBA:ARBA00024331}.		
PAS_chr1-1_0008	-0.5	-1	0.000396825396825397	25	0.586444320293545	-100.433933048961	9.09091559784445e-06	6.1737855673347e-06	1.47250264828506		metabolic		C4QVT8	PAS_chr1-1_0008	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	2069	NaN			FUNCTION: Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. The beta subunit contains domains for: [acyl-carrier-protein] acetyltransferase and malonyltransferase, S-acyl fatty acid synthase thioesterase, enoyl-[acyl-carrier-protein] reductase, and 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase. {ECO:0000256|PIRNR:PIRNR005562}.
PAS_chr1-1_0013	-0.5	-1	0.000396825396825397	27	0.586206896551724	-2652224.50495965	3.439192683886e-10	6.03545977966701e-06	5.69831099773438e-05		metabolic		C4QVU3	SLD1	Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18)	542	NaN	PATHWAY: Lipid metabolism; sphingolipid metabolism. {ECO:0000305|PubMed:16339149}.	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.	FUNCTION: Delta(8)-fatty-acid desaturase which introduces a double bond at the 8-position in the long-chain base (LCB) of ceramides. Required for the formation of the di-unsaturated sphingoid base (E,E)-sphinga-4,8-dienine during glucosylceramide (GluCer) biosynthesis. {ECO:0000269|PubMed:16339149}.
PAS_chr1-1_0050	-0.5	-1	0.000396825396825397	32	0.730295318473454	-154.629423644052	1.1286619609666e-05	5.52097515054233e-06	2.04431632128561		metabolic		C4QVY5	PAS_chr1-1_0050	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	473	NaN		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU361137}.	FUNCTION: The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). {ECO:0000256|RuleBase:RU361137}.
