protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry name	Protein names	Length	Mass	Cross-reference (PaxDb)	Subcellular location [CC]	Function [CC]
Q0045	-1	-1	0	1	0.865198039237576	-1893.67714607447	3.52736011255387e-06	6.43251588090644e-08	54.836399596371		metabolic	Mitochondrial respiratory chain complex IV, COX5B variant	P00401	COX1	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	534	58,798	P00401;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.	FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of COX2 and heme A of COX1 to the active site in COX1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix (Probable). COX1 is a catalytic core subunit containing heme A and the active site BNC with heme A3 and the copper atom CU(B) (PubMed:30598554). {ECO:0000269|PubMed:30598554, ECO:0000305|PubMed:30598554}.
Q0080	-1	-1	0	2	0.88488439783496	-14953.349672051	5.33593555735966e-07	0	Inf		metabolic	Mitochondrial proton-transporting ATP synthase complex	P00856	ATP8	ATP synthase protein 8 (A6L) (ATP-associated protein 1) (F-ATPase subunit 8)	48	5,822	P00856;	SUBCELLULAR LOCATION: Mitochondrion membrane; Single-pass membrane protein.	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. Minor subunit located with subunit a in the membrane (By similarity). {ECO:0000250}.
Q0085	-1	-1	0	3	0.88488439783496	-14953.349672051	5.33593555735966e-07	1.54112359646717e-08	34.6236704803666		metabolic	Mitochondrial proton-transporting ATP synthase complex	P00854	ATP6	ATP synthase subunit a (F-ATPase protein 6)	259	29,099	P00854;	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Key component of the proton channel; it may play a direct role in the translocation of protons across the membrane.
Q0105	-1	-1	0	4	0.865198039237576	-873.794789825281	7.64445074392535e-06	2.29732710032373e-10	33275.4127300728		metabolic	Mitochondrial respiratory chain complex III	P00163	COB	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	385	43,656	P00163;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}; Multi-pass membrane protein {ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}.	FUNCTION: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c (Probable). Cytochrome b is a catalytic core subunit containing 2 b-type hemes BL and BH topographically segregated in the quinone reduction (Qi) and quinol oxidation (Q0) sites on opposite sides of the membrane (PubMed:18390544). {ECO:0000269|PubMed:18390544, ECO:0000305|PubMed:11880631, ECO:0000305|PubMed:2551731, ECO:0000305|PubMed:8031140}.
Q0130	-1	-1	0	5	0.88488439783496	-1495.3349672051	5.33593555735966e-06	1.53155140021582e-10	34840.0684208689		metabolic	Mitochondrial proton-transporting ATP synthase complex	P61829	OLI1	ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)	76	7,759	P61829;	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. A homomeric c-ring of probably 10 subunits is part of the complex rotary element.
Q0250	-1	-1	0	6	0.865198039237576	-1893.67714607447	3.52736011255387e-06	2.5270598103561e-07	13.9583562608944		metabolic	Mitochondrial respiratory chain complex IV, COX5B variant	P00410	COX2	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	251	28,567	P00410;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.	FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of COX2 and heme A of COX1 to the active site in COX1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules unsing 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix (Probable). COX2 is a catalytic core subunit which transfers the electrons from cytochrome c via its dinuclear copper A center (CU(A)) to the BNC of the COX1 (PubMed:30598554). {ECO:0000269|PubMed:30598554, ECO:0000305|PubMed:30598554}.
Q0275	-1	-1	0	7	0.865198039237576	-1893.67714607447	3.52736011255387e-06	0	Inf		metabolic	Mitochondrial respiratory chain complex IV, COX5B variant	P00420	COX3	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	269	30,360	P00420;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.	FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of COX2 and heme A of COX1 to the active site in COX1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix (Probable). COX3 is a catalytic core subunit (PubMed:30598554). {ECO:0000269|PubMed:30598554, ECO:0000305|PubMed:30598554}.
YAL012W	-0.5	-1	0	8	0.928051447950338	-10681.7006348081	1.25704644481039e-06	7.46631307605211e-06	0.168362407523778		metabolic		P31373	CYS3	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)	394	42,542	P31373;	SUBCELLULAR LOCATION: Cytoplasm.	NaN
YAL023C	-0.5	-1	0	10	0.70793418215846	-34784.9402630429	7.30666090711873e-08	8.50968246744914e-07	0.0858629089283631	YOR321W	Secretory	PMT5-PMT2 dolichyl-phosphate-mannose-protein mannosyltransferase complex	P31382	PMT2	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 (EC 2.4.1.109)	759	86,870	P31382;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P33775}; Multi-pass membrane protein {ECO:0000255}.	FUNCTION: Protein O-mannosyltransferase involved in O-glycosylation which is essential for cell wall rigidity. Forms a heterodimeric complex with PMT2 and more rarely with PMT5 to transfer mannose from Dol-P-mannose to Ser or Thr residues on proteins. The PMT1-PMT2 complex participates in oxidative protein folding, ER-associated protein degradation (ERAD), as well as ER export. {ECO:0000269|PubMed:15377669, ECO:0000269|PubMed:18182384, ECO:0000269|PubMed:21147851, ECO:0000269|PubMed:8543034}.
YAL038W	-0.5	-1	0	13	0.825252546415868	-71.8715030795919	6.86784021711435e-05	0.000142759734892617	0.481076840208502	YOR347C	metabolic		P00549	CDC19	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	500	54,545	P00549;	NaN	NaN
